productinfo_id,ProductName,Brand,BrandDictionary_Id,OriginalPlace,DisplayCategoryName,image_id,image_name,image_format,image_size,image_url
2665,晋泉高粱白五年陈酿42度450ml（含经销商赠品等政策）,晋泉,3758,山西太原,"餐饮店-白酒-其他白酒,烟酒店-白酒-其他,便利店-白酒-其他白酒",17587,4792724100623146983.jpg,jpg,62021,http://yjp-product.ufile.ucloud.cn/Product/2017/11/3045858717304b10b2eea4652797ac4f.jpg
2667,汾酒百家老根39度450ml（含经销商赠品等政策）,汾酒,3588,山西汾阳,"烟酒店-白酒-其他,便利店-白酒-其他白酒,餐饮店-白酒-其他白酒",17589,4859347850089516119.jpg,jpg,77927,http://yjp-product.ufile.ucloud.cn/Product/2017/11/e4154e246acd475ca16952ad21a3f86c.jpg
2668,汾酒百家老根42度225ml（含经销商赠品等政策）,汾酒,3588,山西汾阳,"餐饮店-白酒-其他白酒,烟酒店-白酒-其他,便利店-白酒-其他白酒",17590,5148134961451310517.jpg,jpg,75829,http://yjp-product.ufile.ucloud.cn/Product/2017/11/cefe919946ae443c84d82e7b1c607fec.jpg
2671,玻璃汾42度475ml（含经销商赠品等政策）,汾酒,3588,山西汾阳,"餐饮店-白酒-其他白酒,烟酒店-白酒-其他,便利店-白酒-其他白酒",17593,4959528673352674478.jpg,jpg,61900,http://yjp-product.ufile.ucloud.cn/Product/2017/11/52e888b53f3147e98ff8475da025653a.jpg
2673,浏阳河50周年50度475ml（玻璃瓶）,浏阳河,3560,湖南,白酒-区域名酒,17595,5232021516742429963.jpg,jpg,52730,http://yjp-product.ufile.ucloud.cn/Product/2017/11/3ad693312c664bc8b07f84ab03b0dfae.jpg
2674,十年老白汾45度475ml（含经销商赠品等政策）,汾酒,3588,山西汾阳,"烟酒店-白酒-其他,便利店-白酒-其他白酒,餐饮店-白酒-其他白酒",17596,5477990822495669218.jpg,jpg,95118,http://yjp-product.ufile.ucloud.cn/Product/2017/11/5aaf36ed27ed4d558f5ff89d15744c5e.jpg
2675,酒鬼湘泉十五年54度500ml,酒鬼,3537,,白酒-全国名酒,17597,4894873822281806393.jpg,jpg,72644,http://yjp-product.ufile.ucloud.cn/Product/2017/11/2bb7609176784b59bc6a972630c303bc.jpg
2676,汾酒紫砂53度475ml,汾酒,3588,山西,白酒-全国名酒,17598,5452791411420112305.jpg,jpg,96131,http://yjp-product.ufile.ucloud.cn/Product/2017/11/991dd3a391cd4376b65e969f55035f5f.jpg
2677,封坛十五年42度475ml（含经销商赠品等政策）,汾酒,3588,山西汾阳,"餐饮店-白酒-其他白酒,烟酒店-白酒-其他,便利店-白酒-其他白酒",17599,5700872560310838283.jpg,jpg,90553,http://yjp-product.ufile.ucloud.cn/Product/2017/11/f8e02e8d35684a55880f3d48d1e80ef6.jpg
2679,醇柔老白汾42度475ml（含经销商赠品等政策）,汾酒,3588,山西汾阳,"餐饮店-白酒-其他白酒,烟酒店-白酒-其他,便利店-白酒-其他白酒",17601,4995049410054013694.jpg,jpg,81187,http://yjp-product.ufile.ucloud.cn/Product/2017/11/679c271914964838bf04be7cc3f8c60c.jpg
2680,宝泉涌42度500ml（含经销商赠品等政策）,杏花村,3759,山西汾阳,"烟酒店-白酒-其他,便利店-白酒-其他白酒,餐饮店-白酒-其他白酒",17602,5473181788068851529.jpg,jpg,58865,http://yjp-product.ufile.ucloud.cn/Product/2017/11/6b5b8c38731e4befae9c823eaa6981fb.jpg
2681,竹叶青45度475ml（含经销商赠品等政策）,竹叶青,3750,山西汾阳,"餐饮店-白酒-其他白酒,烟酒店-白酒-其他,便利店-白酒-其他白酒",17603,4697063446522979245.jpg,jpg,61161,http://yjp-product.ufile.ucloud.cn/Product/2017/11/c69d64a77a3243b19c72ce8a6789a5fc.jpg
2682,牛栏山陈酿42度500ml（A）（含经销商赠品等政策）,牛栏山,3550,北京,白酒-全国名酒,17604,4961911456300365599.jpg,jpg,61358,http://yjp-product.ufile.ucloud.cn/Product/2017/11/76393e48a27042c0bba681ece7b00cd0.jpg
2685,十八酒坊陶藏8年38.8度480ml（含经销商赠品等政策）,十八酒坊,3602,衡水,"餐饮店-白酒-其他白酒,烟酒店-白酒-其他,便利店-白酒-其他白酒",17608,5211249831769462298.jpg,jpg,102934,http://yjp-product.ufile.ucloud.cn/Product/2017/11/8ec29724939249ca8d8d0bb092470cf5.jpg
2686,牛栏山二锅头46度500ml（含经销商赠品等政策）,牛栏山,3550,北京,"烟酒店-白酒-其他,便利店-白酒-其他白酒,餐饮店-白酒-其他白酒",17609,5087021998277745549.jpg,jpg,93580,http://yjp-product.ufile.ucloud.cn/Product/2017/11/80129cc9f8824c2fab7d6eec62045e8e.jpg
2687,牛栏山陈酿42度265ml（含经销商赠品等政策）,牛栏山,3550,,白酒-区域名酒,17610,4899692335786511876.jpg,jpg,84321,http://yjp-product.ufile.ucloud.cn/Product/2017/11/a40daca69bda4ea9984ae2b056bf7ee2.jpg
2688,百年牛栏山二锅头36度400ml（含经销商赠品等政策）,牛栏山,3550,北京,"烟酒店-白酒-其他,便利店-白酒-其他白酒,餐饮店-白酒-其他白酒",17611,4887273821061921173.jpg,jpg,101376,http://yjp-product.ufile.ucloud.cn/Product/2017/11/d5d38daea6ce4c9ab39c85724bdc5e52.jpg
2689,百年牛栏山老酒35度500ml（含经销商赠品等政策）,牛栏山,3550,北京,"餐饮店-白酒-其他白酒,烟酒店-白酒-其他,便利店-白酒-其他白酒",17612,4788686426351417964.jpg,jpg,101274,http://yjp-product.ufile.ucloud.cn/Product/2017/11/32a28301480b43cd8ce87b6c6fd2cd6b.jpg
2690,红星二锅头八年陈酿43度500ml（含经销商赠品等政策）,红星,3590,北京,"烟酒店-白酒-其他,便利店-白酒-其他白酒,餐饮店-白酒-其他白酒",17613,4985073970473643173.jpg,jpg,70987,http://yjp-product.ufile.ucloud.cn/Product/2017/11/3dedfcb48e9f47f6b96559adaeeb1769.jpg
2691,红星八年陈酿43度750ml（含经销商赠品等政策）,红星,3590,北京,"餐饮店-白酒-其他白酒,烟酒店-白酒-其他,便利店-白酒-其他白酒",17614,5375280893095826869.jpg,jpg,67357,http://yjp-product.ufile.ucloud.cn/Product/2017/11/689485b8d78b4130a889dd35fa9ccf47.jpg
2692,红星二锅头八年陈酿43度250ml（含经销商赠品等政策）,红星,3590,北京,"烟酒店-白酒-其他,便利店-白酒-其他白酒,餐饮店-白酒-其他白酒",17615,5441666011451364755.jpg,jpg,67265,http://yjp-product.ufile.ucloud.cn/Product/2017/11/f3674be19d8740daadad6352e6780324.jpg
2693,绵柔口子酒42度500ml,口子窖,3524,安徽,白酒-区域名酒,17616,4804347744646104077.jpg,jpg,95040,http://yjp-product.ufile.ucloud.cn/Product/2017/11/79f1b41fdfc848d58511a2944b582218.jpg
2694,剑南春水晶52度500ml（含经销商赠品等政策）,剑南春,3582,四川,"烟酒店-白酒-其他,便利店-白酒-其他白酒,餐饮店-白酒-其他白酒",17617,5614529949088339245.jpg,jpg,79917,http://yjp-product.ufile.ucloud.cn/Product/2017/11/7e38368f3ff64d6bbd0d4606910bbd2c.jpg
